_RAJ2000|_DEJ2000|ID|RAJ2000|DEJ2000|GLON|GLAT|Rsun|Rgc|Vt|[Fe/H]|SpT|c|Rh
006.021667|-72.080833|NGC 104  |00 24 05.2|-72 04 51|305.90|-44.89|  4.3|  7.3| 3.95|-0.76|G4  | 2.04| 2.79
013.197917|-26.590000|NGC 288  |00 52 47.5|-26 35 24|152.28|-89.38|  8.1| 11.4| 8.09|-1.24|    | 0.96| 2.22
015.809583|-70.848333|NGC 362  |01 03 14.3|-70 50 54|301.53|-46.25|  8.3|  9.2| 6.40|-1.16|F9  | 1.94| 0.81
048.063750|-55.216944|NGC 1261 |03 12 15.3|-55 13 01|270.54|-52.13| 16.0| 17.9| 8.29|-1.35|F7  | 1.27| 0.75
053.345833|+79.580556|Pal 1    |03 33 23.0|+79 34 50|130.07| 19.03|  9.7| 15.9|13.52|-0.80|    | 1.50| 0.48
058.761250|-49.614444|AM 1     |03 55 02.7|-49 36 52|258.36|-48.47|119.1|120.5|15.72|-1.80|    | 1.23| 0.50
066.185417|-21.186944|Eridanus |04 24 44.5|-21 11 13|218.11|-41.33| 80.8| 85.8|14.70|-1.46|    | 1.10| 0.40
071.524583|+31.380833|Pal 2    |04 46 05.9|+31 22 51|170.53| -9.07| 26.9| 34.8|13.04|-1.30|    | 1.45| 0.67
078.526250|-40.047222|NGC 1851 |05 14 06.3|-40 02 50|244.51|-35.04| 12.2| 16.8| 7.14|-1.26|F7  | 2.24| 0.52
081.044167|-24.524167|NGC 1904 |05 24 10.6|-24 31 27|227.23|-29.35| 12.6| 18.5| 7.73|-1.54|F5  | 1.72| 0.80
102.246667|-36.005278|NGC 2298 |06 48 59.2|-36 00 19|245.63|-16.01| 10.6| 15.6| 9.29|-1.85|F5  | 1.28| 0.78
114.535417|+38.881944|NGC 2419 |07 38 08.5|+38 52 55|180.37| 25.24| 82.3| 89.6|10.39|-2.12|F5  | 1.40| 0.73
136.990833|-37.221389|Pyxis    |09 07 57.8|-37 13 17|261.32|  7.00| 38.5| 40.5|12.90|-1.20|    | 0.65| 1.35
138.010833|-64.863056|NGC 2808 |09 12 02.6|-64 51 47|282.19|-11.25|  9.3| 10.9| 6.20|-1.37|F7  | 1.77| 0.76
140.247083|-77.282500|E 3      |09 20 59.3|-77 16 57|292.27|-19.02|  4.2|  7.6|11.35|-0.80|    | 0.75| 2.06
151.380833| +0.071389|Pal 3    |10 05 31.4|+00 04 17|240.14| 41.86| 89.4| 92.6|14.26|-1.66|    | 1.00| 0.66
154.403333|-46.411111|NGC 3201 |10 17 36.8|-46 24 40|277.23|  8.64|  5.1|  8.9| 6.75|-1.48|F6  | 1.31| 2.68
172.320000|+28.973611|Pal 4    |11 29 16.8|+28 58 25|202.31| 71.80| 99.6|102.2|14.20|-1.48|    | 0.78| 0.54
182.525833|+18.541944|NGC 4147 |12 10 06.2|+18 32 31|252.85| 77.19| 18.8| 20.9|10.32|-1.83|F2/3| 1.80| 0.43
186.439167|-72.659167|NGC 4372 |12 25 45.4|-72 39 33|300.99| -9.88|  4.9|  6.9| 7.24|-2.09|F5  | 1.30| 3.90
189.667500|-51.150278|Rup 106  |12 38 40.2|-51 09 01|300.89| 11.67| 20.6| 18.0|10.90|-1.80|    | 0.70| 1.10
189.866667|-26.742778|NGC 4590 |12 39 28.0|-26 44 34|299.63| 36.05| 10.1| 10.0| 7.84|-2.06|F2/3| 1.64| 1.55
194.895833|-70.874722|NGC 4833 |12 59 35.0|-70 52 29|303.61| -8.01|  5.9|  6.9| 6.91|-1.79|F3  | 1.25| 2.41
198.230417|+18.169167|NGC 5024 |13 12 55.3|+18 10 09|332.96| 79.76| 18.4| 18.9| 7.61|-2.07|F6  | 1.78| 1.11
199.112500|+17.698056|NGC 5053 |13 16 27.0|+17 41 53|335.69| 78.94| 16.2| 16.8| 9.47|-2.29|    | 0.82| 3.50
201.691250|-47.476944|NGC 5139 |13 26 45.9|-47 28 37|309.10| 14.97|  5.1|  6.3| 3.68|-1.62|F5  | 1.24| 4.18
205.546667|+28.375556|NGC 5272 |13 42 11.2|+28 22 32| 42.21| 78.71| 10.0| 11.9| 6.19|-1.57|F6  | 1.85| 1.12
206.610417|-51.373333|NGC 5286 |13 46 26.5|-51 22 24|311.61| 10.57| 10.7|  8.2| 7.34|-1.67|F5  | 1.46| 0.69
208.958750|-27.172778|AM 4     |13 55 50.1|-27 10 22|320.15| 33.54| 29.2| 24.8|15.90|-2.00|    | 0.50| 0.42
211.363750|+28.534444|NGC 5466 |14 05 27.3|+28 32 04| 42.15| 73.59| 16.6| 16.9| 9.04|-2.22|    | 1.43| 2.25
217.405417| -5.976389|NGC 5634 |14 29 37.3|-05 58 35|342.21| 49.26| 25.3| 21.3| 9.47|-1.82|F3/4| 1.60| 0.54
219.902083|-26.538333|NGC 5694 |14 39 36.5|-26 32 18|331.06| 30.36| 33.9| 28.3|10.17|-1.86|F4  | 1.84| 0.33
225.077083|-82.213611|IC 4499  |15 00 18.5|-82 12 49|307.35|-20.47| 18.4| 15.4| 9.76|-1.60|    | 1.11| 1.50
225.993750|-33.067778|NGC 5824 |15 03 58.5|-33 04 04|332.55| 22.07| 31.3| 25.1| 9.09|-1.85|F4  | 2.45| 0.36
229.022083| -0.111389|Pal 5    |15 16 05.3|-00 06 41|  0.85| 45.86| 22.6| 18.0|11.75|-1.38|    | 0.74| 2.96
